name,url,rss_url,type,score,source_count,found_in
PlanetScale Blog,https://planetscale.com/blog,https://planetscale.com/blog/rss.xml,Company,50,1,manual-curation
Crunchy Data Blog,https://www.crunchydata.com/blog,https://www.crunchydata.com/blog/rss.xml,Company,50,1,manual-curation
Marc Brooker,https://brooker.co.za/blog/,https://brooker.co.za/blog/rss.xml,Individual,50,1,manual-curation
Scattered Thoughts,https://www.scattered-thoughts.net/,https://www.scattered-thoughts.net/atom.xml,Individual,50,1,manual-curation
Too Much Data Blog,https://www.tumuchdata.club/for_students/blog/,https://www.tumuchdata.club/index.xml,Individual,50,1,manual-curation
Justin Jaffray (Buttondown),https://buttondown.com/jaffray/archive,https://buttondown.com/jaffray/rss,Individual,50,1,manual-curation
Justin Jaffray,https://justinjaffray.com/posts/,https://justinjaffray.com/blog/index.xml,Individual,50,1,manual-curation
Jan Nidzwetzki,https://jnidzwetzki.github.io/,https://jnidzwetzki.github.io/feed.xml,Individual,50,1,manual-curation
Simon Eskildsen,https://sirupsen.com/,https://sirupsen.com/atom.xml,Individual,50,1,manual-curation
Tudor Stanescu,https://tudor96stani.com/blog/,https://tudor96stani.com/atom.xml,Individual,50,1,manual-curation
BitsxPages,https://www.bitsxpages.com/,https://www.bitsxpages.com/feed,Individual,50,1,manual-curation
Baotiao,https://baotiao.github.io/,https://baotiao.github.io/feed.xml,Individual,50,1,manual-curation
A. Jesse Jiryu Davis,https://emptysqua.re/blog/all-posts/,https://emptysqua.re/blog/index.xml,Individual,50,1,manual-curation
Binary Igor,https://binaryigor.com/,https://binaryigor.com/feed.xml,Individual,50,1,manual-curation
Murat Demirbas,https://muratbuffalo.blogspot.com/,https://muratbuffalo.blogspot.com/feeds/posts/default,Individual,50,1,manual-curation
Materialized View,https://materializedview.io/,https://materializedview.io/feed,Company,50,1,manual-curation
HammerDB Blog,https://www.hammerdb.com/casestudies.html,https://www.hammerdb.com/blog/feed,Company,50,1,manual-curation
Database Architects,https://databasearchitects.blogspot.com/,https://databasearchitects.blogspot.com/feeds/posts/default,Individual,50,1,manual-curation
